account_id,matches,active_days,wins,kills,kills_bots,assists,deaths,pmins,golds,unq_maps,unq_chrs,avg_matches_pd,max_matches_pd,avg_wins_pd,max_wins_pd,lw_match_rate,days_since_last_sign_in,days_since_sign_up,purchase_amt,purchase_freq,has_premium,chat_rate_pm,time_to_first_play,high_spd_internet,resolution,tutorial_progress,dv_churn,dv_purchase_amt
576640,11,4,2,41,487,41,17,211.13,80944,1,2,2.75,5,0.5,2,0.0,20,32,3.1,1,0,0.0,221.14,0,c,0.44,1,0.0
945306,4,3,3,11,172,37,19,83.02,59619,2,2,1.33,2,1.0,1,0.25,4,32,0.0,0,0,0.0,232.08,1,a,0.62,1,0.0
185464,3,1,2,0,58,16,11,31.77,22833,2,2,3.0,3,2.0,1,0.0,22,42,0.0,0,0,50.14,233.62,1,a,1.0,1,0.0
458308,32,2,18,257,1961,228,116,397.35,286752,4,16,16.0,18,9.0,10,0.0,26,28,0.0,0,0,16.91,204.28,0,c,0.49,1,0.0
509048,35,6,12,109,1179,207,144,440.25,820890,11,5,5.83,14,2.0,7,0.11,4,50,0.0,0,0,42.49,97.47,0,c,1.0,0,0.0
145668,14,2,10,47,310,67,20,159.3,108476,10,7,7.0,13,5.0,9,0.07,4,44,0.0,0,0,53.03,60.75,0,c,0.78,0,0.0
932911,24,5,9,118,1409,129,100,338.03,273766,4,4,4.8,8,1.8,3,0.0,20,41,3.1,1,0,54.22,102.48,0,c,1.0,1,0.0
990272,14,4,5,110,613,159,74,213.28,163859,6,5,3.5,5,1.25,3,0.0,22,38,0.0,0,0,0.0,226.1,1,b,0.31,1,0.0
875495,101,13,35,321,5444,990,541,1313.58,962007,6,22,7.77,20,2.69,7,0.0,10,38,0.0,0,0,0.0,86.97,0,c,0.67,0,0.0
885202,182,17,73,1035,7680,1550,803,2442.85,2683672,10,41,10.71,29,4.29,12,0.2,1,55,0.0,0,0,0.0,70.96,0,b,0.83,0,2.6
277834,5,1,3,26,112,36,27,59.47,43978,4,4,5.0,5,3.0,3,0.0,27,30,0.0,0,0,36.28,143.52,0,c,0.39,1,0.0
907196,16,3,1,16,534,64,47,184.22,49804,3,7,5.33,10,0.33,1,0.63,2,53,2.8,1,0,5.63,127.62,1,c,0.92,0,0.0
877455,26,6,11,40,580,117,106,288.28,142374,10,8,4.33,8,1.83,6,0.31,1,35,0.0,0,0,23.58,236.54,1,d,0.18,1,0.0
553059,10,2,3,64,611,96,26,164.7,131254,3,6,5.0,7,1.5,2,0.0,21,53,0.0,0,0,52.48,103.88,0,b,0.91,0,0.0
163670,67,10,24,200,1555,565,381,867.95,669828,11,26,6.7,12,2.4,6,0.31,2,40,0.0,0,0,6.65,135.9,0,c,1.0,0,0.0
126909,118,14,50,581,5249,968,465,1786.78,1436370,5,10,8.43,23,3.57,11,0.21,1,50,0.0,0,0,50.42,130.28,1,c,0.94,0,0.0
568708,24,5,19,228,768,357,38,269.15,246916,3,9,4.8,14,3.8,11,0.0,16,43,0.0,0,0,55.98,174.44,0,c,0.2,1,0.0
462701,2,1,2,9,38,4,3,14.73,13215,2,2,2.0,2,2.0,2,0.0,28,31,0.0,0,0,77.77,159.92,0,b,0.81,1,0.0
459760,7,2,2,27,262,53,29,79.73,48907,2,4,3.5,5,1.0,1,0.0,14,35,0.0,0,0,87.99,132.26,0,c,0.36,1,0.0
596974,33,4,30,447,1883,512,124,545.88,436120,8,13,8.25,15,7.5,14,0.33,1,34,3.0,1,0,48.05,64.99,1,c,0.63,0,0.0
457658,18,5,12,148,598,127,31,197.47,166803,6,3,3.6,4,2.4,4,0.0,22,48,0.0,0,0,0.0,181.11,0,c,0.89,1,0.0
451325,8,5,6,4,117,24,51,88.93,149277,6,5,1.6,4,1.2,3,0.0,20,32,0.0,0,0,30.39,267.15,0,b,0.57,1,0.0
641496,3,1,3,16,89,24,2,29.77,27177,3,2,3.0,3,3.0,3,0.0,28,46,0.0,0,0,0.0,183.9,0,c,0.03,1,0.0
360276,42,12,21,112,1038,325,178,612.12,432838,9,20,3.5,8,1.75,5,0.17,2,40,3.2,1,0,0.5,78.59,0,b,0.59,0,0.0
520500,7,1,2,24,171,40,33,70.57,56679,3,4,7.0,7,2.0,2,0.0,16,50,0.0,0,0,60.2,174.9,1,c,0.19,1,0.0
641183,34,4,19,481,1345,353,102,478.47,464004,1,17,8.5,13,4.75,7,0.71,1,34,0.0,0,0,57.33,102.92,0,b,0.75,0,0.0
861807,1,1,1,1,21,0,0,3.88,3869,1,1,1.0,1,1.0,1,0.0,19,30,0.0,0,0,17.14,136.99,0,c,0.41,1,0.0
708833,122,10,22,115,3228,449,654,1482.47,868128,6,25,12.2,27,2.2,5,0.24,3,36,0.0,0,0,41.78,203.58,0,c,0.65,1,0.0
368730,1,1,0,1,19,0,0,6.93,4031,1,1,1.0,1,0.0,0,0.0,24,43,2.7,1,0,49.7,209.83,0,c,0.42,1,0.0
289218,200,17,69,439,6177,937,767,2232.03,2805187,14,48,11.76,36,4.06,17,0.21,1,29,0.0,0,0,26.26,102.69,0,b,0.35,0,0.0
232124,149,17,68,1003,7455,1678,537,2110.83,1661377,5,43,8.76,17,4.0,10,0.0,8,52,0.0,0,1,53.41,80.51,1,a,0.77,0,0.0
336377,49,10,23,316,2353,364,169,591.98,573978,11,19,4.9,16,2.3,5,0.12,4,50,0.0,0,1,20.75,101.31,0,c,0.59,0,0.0
401818,1,1,1,20,60,19,2,12.13,15294,1,1,1.0,1,1.0,1,0.0,27,31,0.0,0,0,40.19,141.01,1,c,0.45,0,0.0
857351,4,1,4,32,112,26,3,41.32,35084,4,2,4.0,4,4.0,4,0.0,28,29,0.0,0,0,34.29,166.33,0,c,1.0,1,0.0
542582,153,18,48,358,6101,794,875,2017.75,1453689,8,11,8.5,25,2.67,8,0.11,2,38,0.0,0,0,36.55,140.35,0,b,0.98,0,0.0
620886,181,21,64,430,5310,1294,712,2337.67,1508487,5,30,8.62,17,3.05,7,0.17,1,33,0.0,0,0,76.28,121.5,0,d,0.58,0,0.0
757852,2,1,2,3,50,22,1,13.23,10202,2,1,2.0,2,2.0,1,0.0,26,47,0.0,0,0,21.41,75.35,0,b,0.7,0,0.0
775067,9,2,5,81,255,60,23,76.73,396549,4,6,4.5,7,2.5,5,0.0,9,53,0.0,0,0,0.0,131.4,0,b,0.59,1,0.0
595474,95,16,40,335,5142,750,460,1450.08,1102311,7,11,5.94,17,2.5,8,0.45,1,42,0.0,0,0,13.03,84.14,1,b,1.0,0,0.0
660682,2,1,0,24,253,13,3,55.55,26126,1,1,2.0,2,0.0,0,0.0,19,46,0.0,0,0,7.27,192.83,0,c,0.89,1,0.0
225284,69,10,37,341,2583,693,311,1108.87,827059,4,8,6.9,21,3.7,9,0.0,8,55,0.0,0,0,80.75,81.89,0,b,0.5,0,0.0
615425,12,5,5,51,770,63,44,170.02,109375,2,6,2.4,4,1.0,1,0.67,1,43,0.0,0,0,64.47,100.73,0,c,0.53,0,0.0
183380,1,1,1,0,23,1,6,15.0,9377,1,1,1.0,1,1.0,0,0.0,24,41,2.9,1,0,0.0,103.54,1,b,0.45,1,0.0
847477,55,8,28,173,2303,496,219,758.68,520366,13,14,6.88,19,3.5,11,0.0,13,28,0.0,0,0,23.43,171.95,0,b,0.46,0,0.0
329786,56,13,19,285,3620,384,184,900.13,537520,6,8,4.31,7,1.46,4,0.16,1,34,0.0,0,0,35.18,88.51,0,a,1.0,0,0.0
474553,1,1,1,6,66,20,0,13.98,10876,1,1,1.0,1,1.0,1,0.0,25,39,0.0,0,0,46.72,158.88,1,c,0.64,1,0.0
673700,20,3,11,74,608,326,117,256.2,205085,1,6,6.67,9,3.67,6,0.0,26,32,0.0,0,0,59.9,191.05,0,c,0.77,1,0.0
752129,8,2,2,19,155,37,49,68.38,52296,2,3,4.0,5,1.0,1,0.0,17,32,3.1,1,0,23.34,108.73,0,b,0.94,1,0.0
347289,3,2,3,28,255,7,5,72.88,36234,1,2,1.5,2,1.5,2,0.0,10,36,0.0,0,0,63.35,76.27,0,c,0.58,0,0.0
941393,13,4,4,45,489,60,50,183.22,98622,5,7,3.25,10,1.0,2,0.0,18,32,0.0,0,0,24.73,229.02,0,c,0.91,1,0.0
687741,20,9,15,97,901,225,44,242.25,173401,6,6,2.22,5,1.67,5,0.2,5,46,0.0,0,0,73.59,94.27,0,b,0.32,0,0.0
991642,31,15,9,56,1340,123,162,425.27,247336,7,10,2.07,5,0.6,3,0.45,2,46,3.1,1,0,21.88,66.61,1,a,1.0,0,0.0
874111,3,1,3,11,65,11,8,28.5,20948,3,3,3.0,3,3.0,2,0.0,22,28,3.1,1,0,49.74,151.34,0,b,0.09,1,0.0
265597,6,5,5,68,413,42,16,88.4,70296,4,4,1.2,2,1.0,1,0.0,18,39,0.0,0,0,28.98,249.98,1,b,0.74,1,0.0
181858,5,3,0,23,255,83,20,88.67,67071,1,4,1.67,3,0.0,0,0.0,9,40,0.0,0,0,24.31,144.27,0,d,0.14,1,0.0
130676,1,1,0,2,57,10,2,20.07,15527,1,1,1.0,1,0.0,0,0.0,25,53,0.0,0,0,51.57,107.45,1,c,0.8,0,0.0
504376,3,1,0,10,116,2,10,24.43,21368,1,2,3.0,3,0.0,0,0.0,20,41,2.9,1,0,21.89,80.98,0,c,0.39,1,0.0
387273,3,2,1,0,47,1,15,34.72,20289,2,2,1.5,2,0.5,0,0.0,26,35,0.0,0,0,24.2,178.74,0,c,0.98,1,0.0
666970,8,5,7,14,243,85,30,106.97,77044,2,4,1.6,3,1.4,3,0.0,17,29,0.0,0,0,0.0,214.95,0,a,0.59,1,0.0
