creator_id,session,dow,start_hour,duration,unq_viewers,avg_viewers,5min_viewers,sponsored,sp_cost,active_users_1h,active_users_3h,purchases_1h,purchases_3h,creator_female,creator_followers
1,1,5,19,84,55594,39726,24843,0,,41703,60275,14592,21765,0,1000552
1,2,7,20,108,39162,31691,16412,0,,29382,42805,10282,11718,0,1000606
1,3,6,20,131,51135,45028,28788,0,,38348,49699,13419,18857,0,1000669
1,4,2,17,125,48750,38544,25848,1,15394.0,36563,45978,12785,15898,0,1000689
1,5,5,18,150,60877,46736,23886,1,21557.0,45679,67621,15994,22238,0,1000750
1,6,3,20,117,62542,56016,36669,0,,46908,58689,16416,20995,0,1000878
1,7,1,18,116,47723,36255,23002,1,9235.0,35782,44918,12514,17424,0,1000914
1,8,1,18,92,31639,26720,18411,1,17569.0,23730,31769,8309,11859,0,1000986
1,9,2,18,139,47058,35592,19700,1,5799.0,35294,43661,12354,17220,0,1000997
1,10,3,17,119,44629,37743,22857,1,23177.0,33469,44012,11713,16806,0,1001073
1,11,1,19,224,40570,33810,18262,0,,30425,39371,10649,14357,0,1001129
1,12,4,20,142,61917,49178,34238,0,,46432,66256,16252,18496,0,1001183
1,13,6,23,138,40275,29589,19083,0,,30226,38110,10579,14792,0,1001248
1,14,7,19,116,53316,37978,22407,1,26847.0,39973,55756,13988,16949,0,1001315
1,15,1,15,57,50694,40546,21166,0,,38038,50090,13309,16007,0,1001388
2,1,5,18,147,52502,38387,21062,1,35682.0,39372,48103,13782,19037,1,1015229
2,2,7,19,142,38383,29956,15284,1,13491.0,28787,38007,10081,14327,1,1015254
2,3,6,17,88,54630,45968,24734,1,13893.0,40964,56876,14336,16465,1,1015261
2,4,4,18,120,52370,42462,22712,0,,39288,54738,13748,18701,1,1015336
2,5,3,22,97,41640,35314,23003,0,,31218,44929,10928,15168,1,1015388
2,6,4,20,156,28522,23499,14867,0,,21386,26436,7487,10785,1,1015471
2,7,3,18,88,50783,36537,20483,1,5428.0,38100,56331,13335,17820,1,1015533
2,8,7,17,102,46860,40551,24838,1,25218.0,35152,44370,12308,16339,1,1015543
2,9,5,19,98,49237,38300,26440,1,27875.0,36923,54069,12919,17955,1,1015559
2,10,6,18,113,66309,51487,30306,1,22024.0,49717,67504,17394,24760,1,1015653
2,11,1,18,143,41031,36381,23455,1,56033.0,30782,37208,10774,14203,1,1015675
2,12,1,23,144,44109,31207,20079,0,,33081,45037,11570,16173,1,1015742
2,13,1,19,128,43386,36201,22701,1,29961.0,32544,47529,11392,14418,1,1015799
2,14,1,19,107,55812,44183,30442,1,16585.0,41860,56080,14650,18784,1,1015850
2,15,4,15,96,63879,53198,30199,1,19647.0,47916,71412,16773,24420,1,1015887
2,16,5,20,104,34405,28408,17370,0,,25795,35325,9033,10254,1,1015929
2,17,1,20,218,50572,39856,26758,0,,37936,47839,13279,19245,1,1015917
2,18,1,19,168,30624,27198,13858,1,50181.0,22964,30285,8035,10077,1,1015971
2,19,1,16,151,50594,36005,19891,0,,37948,50502,13277,17742,1,1016069
2,20,6,20,227,68510,49529,26013,0,,51403,69849,17995,26768,1,1016121
2,21,1,23,188,50796,41658,21349,0,,38091,53950,13335,19905,1,1016125
2,22,4,16,102,61262,50817,35256,1,25930.0,45950,62268,16083,18444,1,1016177
2,23,6,20,196,47419,33288,17941,0,,35570,46777,12449,15807,1,1016297
2,24,1,18,142,46382,41428,21796,0,,34783,44053,12173,17190,1,1016306
2,25,6,19,120,57596,50858,34120,1,20282.0,43198,61982,15121,19708,1,1016373
2,26,6,19,110,68024,56151,33372,0,,51020,75914,17860,24859,1,1016443
